id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3972745,19580471,"43 Hansted Way, Lucan, Co. Dublin",365000.0,95,95 m²,3,3,Terrace,2022-07-17,B2,104329545,21.5 kWh/m2/yr,53.336998317613,-6.4501492074097,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-43-hansted-way-lucan-co-dublin/3972745
3971236,19567958,"2 Chapel Hill, Lucan, Co. Dublin",335000.0,74,74 m²,4,2,Terrace,2022-07-08,G,115224883,527.48 kWh/m2/yr,53.358895,-6.444535,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-2-chapel-hill-lucan-co-dublin/3971236
3970985,19565739,"9 Woodberry, Finnstown Priory, Lucan, Co. Dublin",382000.0,N/A,,3,3,Semi-D,2022-08-10,C2,102958857,178.96 kWh/m2/yr,53.341852,-6.449301,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-9-woodberry-finnstown-priory-lucan-co-dublin/3970985
3969877,19556192,"56 Stratton Walk, Adamstown, Co. Dublin",369000.0,125,125 m²,3,3,Terrace,2022-08-09,B1,,,53.338059,-6.465372,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-56-stratton-walk-adamstown-co-dublin/3969877
3967761,19539385,"2 Roselawn, Ballydowd, Lucan, Co. Dublin",465000.0,106,106 m²,4,1,Semi-D,2022-07-20,F,101941888,114.0 kWh/m2/yr,53.3592072,-6.4338646,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-2-roselawn-ballydowd-lucan-co-dublin/3967761
3967411,19536780,"49 Lucan Heights, Lucan, Co. Dublin",649500.0,140,140 m²,4,1,Semi-D,2022-08-10,D1,102909934,252.52 kWh/m2/yr,53.3588129,-6.4360563,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-49-lucan-heights-lucan-co-dublin/3967411
3966292,19524892,"11 Rossberry Court, Lucan, Co. Dublin",395000.0,117,117 m²,4,3,Semi-D,2022-08-09,C1,,,53.338714,-6.4387,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-11-rossberry-court-lucan-co-dublin/3966292
3966209,19524804,"31 Moy Glas View, Lucan, Co. Dublin",375000.0,100,100 m²,3,3,Semi-D,2022-07-17,C3,115208506,218.9 kWh/m2/yr,53.3424581,-6.4298608,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-31-moy-glas-view-lucan-co-dublin/3966209
3965868,19520215,"19 Hillcrest Avenue, Lucan, Co. Dublin",339000.0,89,89 m²,3,1,Terrace,2022-08-10,D2,103996104,275.6 kWh/m2/yr,53.351249,-6.456646,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-19-hillcrest-avenue-lucan-co-dublin/3965868
3965496,19518680,"16 Haydens Park Dale, Lucan, Co. Dublin",395000.0,128,128 m²,4,3,Semi-D,2022-08-09,C2,,,53.337794,-6.444068,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-16-haydens-park-dale-lucan-co-dublin/3965496
3963405,19502120,"59 Esker Park, Lucan, Co. Dublin",385000.0,97,97 m²,4,1,Semi-D,2022-07-17,C3,106657521,205.68 kWh/m2/yr,53.353614,-6.43099,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-59-esker-park-lucan-co-dublin/3963405
3962056,19494300,"11 Castlegate Park, Adamstown Castle, Lucan, Co. Dublin",475000.0,159,159 m²,4,3,Terrace,2022-08-10,B2,,,53.337541,-6.455122,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-11-castlegate-park-adamstown-castle-lucan-co-dublin/3962056
3961175,19482393,"119 Sarsfield Park, Lucan, Co. Dublin",345000.0,86,86 m²,3,1,End of Terrace,2022-08-10,D2,108551177,292.44 kWh/m2/yr,53.3586731,-6.4433113,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-119-sarsfield-park-lucan-co-dublin/3961175
3960199,19472842,"24 Ballyowen Avenue, Lucan, Co. Dublin",525000.0,127,127 m²,4,3,Semi-D,2022-08-10,C1,115196669,158.15 kWh/m2/yr,53.355644,-6.418604,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-24-ballyowen-avenue-lucan-co-dublin/3960199
3957763,19449014,"3 Esker Meadow Close, Lucan, Co. Dublin",425000.0,118,118 m²,3,3,Semi-D,2022-08-10,B3,115020448,147.94 kWh/m2/yr,53.3478,-6.433641,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-3-esker-meadow-close-lucan-co-dublin/3957763
3957758,19449012,"39 Griffeen Glen Boulevard, Lucan, Co. Dublin",325000.0,112,112 m²,3,3,Terrace,2022-08-09,D1,,,53.34006,-6.4336,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-39-griffeen-glen-boulevard-lucan-co-dublin/3957758
3957325,19445238,"12 Shackleton Avenue, Shackelton Park, Lucan, Co. Dublin",525000.0,165,165 m²,4,4,Semi-D,2022-08-10,A3,110349131,50.38 kWh/m2/yr,53.348053,-6.471263,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-12-shackleton-avenue-shackelton-park-lucan-co-dublin/3957325
3956672,19439962,"55 Mount Bellew Crescent, Lucan, Co. Dublin",325000.0,100,100 m²,3,3,Terrace,2022-08-09,B3,,,53.351882,-6.423469,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-55-mount-bellew-crescent-lucan-co-dublin/3956672
3956315,19436861,"23 Fforster Drive, Ballydowd Manor, Lucan, Co. Dublin",350000.0,93,93 m²,3,3,Semi-D,2022-08-10,D1,,,53.349627,-6.426137,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-23-fforster-drive-ballydowd-manor-lucan-co-dublin/3956315
3956097,19434414,"26 Colthurst Mews, Lucan, Co. Dublin",415000.0,117,117 m²,4,3,Semi-D,2022-07-18,D2,,,53.347455,-6.420404,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-26-colthurst-mews-lucan-co-dublin/3956097
3955763,19429094,"9 Fernleigh Court, Castleknock, Castleknock, Dublin 15",320000.0,70,70 m²,2,3,Terrace,2022-08-03,C2,,,53.372809,-6.404129,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-9-fernleigh-court-castleknock-castleknock-dublin-15/3955763
3947098,19394659,"15 Woodville Close, Lucan, Co. Dublin",380000.0,N/A,,3,2,Semi-D,2022-08-05,C2,,,53.358399,-6.426783,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/semi-detached-house-15-woodville-close-lucan-co-dublin/3947098
3945259,19373596,"26 Arthur Griffith Park, Lucan, Co. Dublin",339000.0,94,94 m²,3,2,Terrace,2022-08-10,C1,104472212,166.16 kWh/m2/yr,53.347106,-6.440933,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/terraced-house-26-arthur-griffith-park-lucan-co-dublin/3945259
3943236,19355102,"2 Woodville Close, Lucan, Co. Dublin",499000.0,167,167 m²,4,3,Detached,2022-07-08,D1,,,53.358674,-6.426232,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/detached-house-2-woodville-close-lucan-co-dublin/3943236
3941830,19341953,"1 Stratton Lawn, Adamstown, Co. Dublin",389000.0,106,106 m²,3,3,End of Terrace,2022-08-09,A3,,,53.338374,-6.466834,Buy,LUCAN_DUBLIN,http://www.daft.ie/for-sale/end-of-terrace-house-1-stratton-lawn-adamstown-co-dublin/3941830
