id,daftShortcode,title,price,size_meters_squared,propertySize,bedrooms,bathrooms,propertyType,publishDate,ber_rating,ber_code,ber_epi,latitude,longitude,category,location,url_link
3904379,18997665,"12 Castlewood Park, Killierisk, Tralee, Co. Kerry",250000.0,N/A,,4,3,Semi-D,2022-05-23,SI_666,,,52.261013,-9.689741,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/semi-detached-house-12-castlewood-park-killierisk-tralee-co-kerry/3904379
3899696,18950867,"8 Bothar An Mhuileann, Ballyard, Tralee, Co. Kerry",550000.0,N/A,,4,4,Detached,2022-07-12,B2,115173957,132.21 kWh/m2/yr,52.256661,-9.711667,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/detached-house-8-bothar-an-mhuileann-ballyard-tralee-co-kerry/3899696
3896505,18916722,"4 Hollow View, Oakview Village, Tralee, Co. Kerry",235000.0,N/A,,3,3,Semi-D,2022-05-18,C2,111524328,180.74 kWh/m2/yr,52.278138,-9.694862,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/semi-detached-house-4-hollow-view-oakview-village-tralee-co-kerry/3896505
3822949,18844675,"12A Manor Close, Manor Village, Tralee, Co. Kerry",195000.0,100,100 m²,4,2,Semi-D,2022-07-14,D1,108815374,247.82 kWh/m2/yr,52.259595,-9.687871,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/semi-detached-house-12a-manor-close-manor-village-tralee-co-kerry/3822949
3807621,18719116,"1 Clogher Lé­, Tralee, Co. Kerry",230000.0,N/A,,4,2,Semi-D,2022-07-01,C2,114819444,181.05 kWh/m2/yr,52.259246,-9.693479,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/semi-detached-house-1-clogher-l-tralee-co-kerry/3807621
3804473,18684553,"Oakview Village, Oakview, Tralee, Co. Kerry",235000.0,109,109 m²,3,1,Semi-D,2022-08-10,C1,101394641,168.42 kWh/m2/yr,52.279027,-9.694767,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/semi-detached-house-oakview-village-oakview-tralee-co-kerry/3804473
3799103,18638055,"47 Rock Park Avenue, Tralee, Co. Kerry",200000.0,74,74 m²,3,1,Semi-D,2022-08-09,D2,,,52.276805,-9.710532,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/semi-detached-house-47-rock-park-avenue-tralee-co-kerry/3799103
3798763,18635869,"47 Derrylea, Oakpark, Tralee, Co. Kerry",290000.0,N/A,,4,1,Detached,2022-08-09,D1,,,52.281611,-9.683437,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/detached-house-47-derrylea-oakpark-tralee-co-kerry/3798763
3795655,18609322,"Beechwood, Lover's Lane, Tralee, Co. Kerry",375000.0,125,125 m²,4,3,Detached,2022-06-28,G,115156002,531.4 kWh/m2/yr,52.2599,-9.710681,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/detached-house-beechwood-lovers-lane-tralee-co-kerry/3795655
3794585,18600294,"19 Woodview Park, Killeen, Tralee, Co. Kerry",185000.0,82,82 m²,3,3,Semi-D,2022-08-05,C2,105119978,,52.285008,-9.692739,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/semi-detached-house-19-woodview-park-killeen-tralee-co-kerry/3794585
3793271,18589937,"8 Hillview Drive, Caherslee, Tralee, Co. Kerry",150000.0,121,121 m²,3,1,Detached,2022-08-09,G,,,52.277081,-9.71709,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/detached-house-8-hillview-drive-caherslee-tralee-co-kerry/3793271
3790550,18570947,"40 Clogher Lé­, Tralee, Co. Kerry",299950.0,N/A,,4,3,Detached,2022-07-22,D2,114820475,262.22 kWh/m2/yr,52.25865,-9.694353,Buy,INSTITUTE_OF_TECHNOLOGY_TRALEE_KERRY,http://www.daft.ie/for-sale/detached-house-40-clogher-l-tralee-co-kerry/3790550
